BOOKID,TITLE,AUTHOR_NAME,PUBLISHED_YEAR,PUBLISHER,ISBN,PRICE
1001,The Immortals of Melhua,Amish Tripathi,2010-02-03,Westland Press,7893450000000,540
1002,The Alchemist,Paulo Coelho,1993-01-15,Harper Collins,7893400000000,700
1003,The Notebook,Nicholas Sparks,1996-03-15,Warner Books,789340000001,845
1004,A Fairy Tale,Stephen King,2022-10-01,Penguin,9781400000000,400
1005,A Fine Balance,Rohinton Mistry,1995-03-22,McCelland,4567100000000,679
1006,Message in a Bottle,Nicholas Sparks,1998-03-15,Warner Books,1289560000000,845
1007,The Choice,Nicholas Sparks,2007-09-24,Grand Central,2293410000000,711
1008,The Secret Of Nagas,Amish Tripathi,2011-07-21,Westland Press,8993500000000,650
1009,The Oath Of Vayuputra,Amish Tripathi,2013-07-23,Westland Press,1290100000000,540
1010,The Da Vinci Code,Dan Brown,2003-04-18,Dobleday,1456990000000,980
